extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary140400,Post Secondary Student Survey (1984),publication81m0010x_4,Do not load to OLC,Do not load to OLC,81M0010X,
primary139816,SCF Public Use Microdata File: Income of Census Family Units,publication13m0001x_4,Ongoing/Available,Do not load to OLC,13M0001X,
primary140803,Survey of Child Care (1980),publication89m0002x_4,Ongoing/Available,Do not load to OLC,89M0002X,
primary140801,Survey of Leisure Time Activities (Reading Habits 1978),publication89m0001x_4,Do not load to OLC,Do not load to OLC,89M0001X,
primary139203,Standard Classification of Goods (SCG) - Diskette Version,publication12f0022x_4,Discontinued/Not available,Do not load to OLC,12F0022X,
primary139207,Concordances Between the 1988 Standard Classification of Goods (SCG) (Import Classes Only) and the Various Versions of the Canadian Customs Tariff (CT) From 1988 to 1994  (Codes Only),publication12f0027x_4,Discontinued/Not available,Do not load to OLC,12F0027X,
primary139209,Concordance Between the 1980 and 1991 Editions of the Standard Occupational Classification (SOC),publication12f0028x_4,Discontinued/Not available,Do not load to OLC,12F0028X,
primary139211,Concordances Between the 1980 Standard Occupational Classification (SOC) and the National Occupational Classification (NOC),publication12f0029x_4,Discontinued/Not available,Do not load to OLC,12F0029X,
primary139197,Concordances Between the 1980 Standard Industrial Classification for Establishments (SIC-E) and the 1980 Standard Industrial Classification for Companies and Enterprises (SIC-C),publication12f0016x_4,Discontinued/Not available,Do not load to OLC,12F0016X,
primary139221,1980 Standard Industrial Classification for Companies and Enterprises (SIC-C) - Structure,publication12f0056x_4,Discontinued/Not available,Do not load to OLC,12F0056X,
primary139219,1991 Standard Occupational Classification (SOC) - Structure and Alphabetical Listing of Occupations,publication12f0039x_4,Discontinued/Not available,Do not load to OLC,12F0039X,
primary140138,National DU and DF Matrices,publication15f0001x_4,Do not load to OLC,Do not load to OLC,15F0001X,
primary139199,Standard Industrial Classification (SIC-E) Coding Manual,publication12f0017x_4,Discontinued/Not available,Do not load to OLC,12F0017X,
primary139201,1980 Standard Industrial Classification (SIC-E) - Classification Structure,publication12f0021x_4,Discontinued/Not available,Do not load to OLC,12F0021X,
primary140450,1991 Census Tabulation Guide (Reference Products: General Reference: 1991 Census of Population),publication92-304-x_4,Discontinued/Not available,Do not load to OLC,92-304-X,
primary139901,Data Products: Area Profiles: 1996 Census of Population,cens_tbtp95f0180x_4,Discontinued/Not available,Do not load to OLC,95F0180X,
primary139409,"Street Network and Feature Extension File, Windsor, 1996 Census (Geography Products: Spatial Information Products)",publication92f0124x_4,Ongoing/Available,Do not load to OLC,92F0124X,
primary139407,"Street Network and Feature Extension File, Toronto, 1996 Census (Geography Products: Spatial Information Products)",publication92f0123x_4,Ongoing/Available,Do not load to OLC,92F0123X,
primary139411,"Street Network and Feature Extension File, Winnipeg, 1996 Census (Geography Products: Spatial Information Products)",publication92f0125x_4,Ongoing/Available,Do not load to OLC,92F0125X,
primary139369,"Street Network and Feature Extension Files, Canada, 1996 Census (Geography Products: Spatial Information Products)",publication92f0100x_4,Ongoing/Available,Do not load to OLC,92F0100X,
primary139363,"Forward Sortation Areas Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0039x_4,Ongoing/Available,Do not load to OLC,92F0039X,
primary139361,"Designated Places Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0038x_4,Ongoing/Available,Do not load to OLC,92F0038X,
primary140312,Data Products: Basic Summary Tabulations: 1996 Census of Population,cens_tbtp95f0269x_4,Discontinued/Not available,Do not load to OLC,95F0269X,
primary140739,"Street Network and Feature Extension File, Kelowna, 1996 Census (Geography Products: Spatial Information Products)",publication92f0135x_4,Ongoing/Available,Do not load to OLC,92F0135X,
primary139399,"Street Network and Feature Extension File, Ottawa - Hull, Recensement De 1996 (Geography Products : Spatial Information Products)",publication92f0119x_4,Ongoing/Available,Do not load to OLC,92F0119X,
primary139405,"Street Network and Feature Extension File, Thunder Bay, 1996 Census (Geography Products: Spatial Information Products)",publication92f0122x_4,Ongoing/Available,Do not load to OLC,92F0122X,
primary139401,"Street Network and Feature Extension File, Peterborough, 1996 Census (Geography Products: Spatial Information Products)",publication92f0120x_4,Ongoing/Available,Do not load to OLC,92F0120X,
primary139403,"Street Network and Feature Extension File, Sudbury, 1996 Census (Geography Products: Spatial Information Products)",publication92f0121x_4,Ongoing/Available,Do not load to OLC,92F0121X,
primary139359,"Urban Areas Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0037x_4,Ongoing/Available,Do not load to OLC,92F0037X,
primary139353,"Census Subdivisions Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0034x_4,Ongoing/Available,Do not load to OLC,92F0034X,
primary139414,"Street Network and Feature Extension File, Regina, 1996 Census (Geography Products: Spatial Information Products)",publication92f0127x_4,Ongoing/Available,Do not load to OLC,92F0127X,
primary139417,"Street Network and Feature Extension File, Alberta, 1996 Census (Geography Products: Spatial Information Products)",publication92f0129x_4,Ongoing/Available,Do not load to OLC,92F0129X,
primary139413,"Street Network and Feature Extension Files, Saskatchewan, 1996 Census (Geography Products: Spatial Information Products)",publication92f0126x_4,Ongoing/Available,Do not load to OLC,92F0126X,
primary139371,"Street Network and Feature Extension File, St. John's, 1996 Census (Geography Products: Spatial Information Products)",publication92f0101x_4,Ongoing/Available,Do not load to OLC,92F0101X,
primary139373,"Street Network and Feature Extension File, Halifax, 1996 Census (Geography Products: Spatial Information Products)",publication92f0102x_4,Ongoing/Available,Do not load to OLC,92F0102X,
primary139331,"Postal Codes by Federal Ridings (1996 Representation Order) File (PCFRF) - Update, 2001 Census (Geography Products: Attribute Information Products)",publication92f0028u_4,Discontinued/Not available,Do not load to OLC,92F0028U,
primary139336,"Postal Codes by Federal Ridings (1996 Representation Order) File (PCFRF), 1996 Census (Geography Products: Attribute Information Products)",publication92f0028x_4,Ongoing/Available,Do not load to OLC,92F0028X,
primary139324,"Postal Code Conversion File (PCCF), 1996 Census (Geography Products: Attribute Information Products)",publication92f0027x_4,Ongoing/Available,Do not load to OLC,92F0027X,
primary140571,"Street Network and Feature Extension File, Saskatoon, 1996 Census (Geography Products: Spatial Information Products)",publication92f0128x_4,Ongoing/Available,Do not load to OLC,92F0128X,
primary139427,"Street Network and Feature Extension File, Nanaimo, 1996 Census (Geography Products: Spatial Information Products)",publication92f0136x_4,Ongoing/Available,Do not load to OLC,92F0136X,
primary139493,"Street Network and Feature Extension File, Kamloops, 1996 Census (Geography Products: Spatial Information Products)",publication92f0134x_4,Ongoing/Available,Do not load to OLC,92F0134X,
primary140694,"Census Divisions Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0032x_4,Ongoing/Available,Do not load to OLC,92F0032X,
primary139380,"Street Network and Feature Extension Files, Province of Quebec, 1996 Census (Geography Products: Spatial Information Products)",publication92f0107x_4,Ongoing/Available,Do not load to OLC,92F0107X,
primary139383,"Street Network and Feature Extension File, Montréal, 1996 Census (Geography Products: Spatial Information Products)",publication92f0109x_4,Ongoing/Available,Do not load to OLC,92F0109X,
primary140702,"Census Tracts Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0036x_4,Ongoing/Available,Do not load to OLC,92F0036X,
primary140700,"Census Metropolitan Areas/Census Agglomerations Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0035x_4,Ongoing/Available,Do not load to OLC,92F0035X,
primary140710,"Enumeration Areas Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0040x_4,Ongoing/Available,Do not load to OLC,92F0040X,
primary139389,"Street Network and Feature Extension File, Trois-Rivières, 1996 Census (Geography Products: Spatial Information Products)",publication92f0113x_4,Ongoing/Available,Do not load to OLC,92F0113X,
primary139394,"Street Network and Feature Extension File, Belleville, 1996 Census (Geography Products : Spatial Information Products)",publication92f0116x_4,Ongoing/Available,Do not load to OLC,92F0116X,
primary139392,"Street Network and Feature Extension File, Barrie, 1996 Census (Geography Products: Spatial Information Products)",publication92f0115x_4,Ongoing/Available,Do not load to OLC,92F0115X,
primary139396,"Street Network and Feature Extension File, Kingston, 1996 Census (Geography Products : Spatial Information Products)",publication92f0117x_4,Ongoing/Available,Do not load to OLC,92F0117X,
primary139345,Federal Electoral Districts (1987 Representation Order) Digital Boundary File/Digital Cartographic File (Geography Products: Spatial Information Products),publication92f0030x_4,Ongoing/Available,Do not load to OLC,92F0030X,
primary139343,"Provinces and Territories Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0029x_4,Ongoing/Available,Do not load to OLC,92F0029X,
primary140716,"Street Network and Feature Extension File, Chicoutimi - Jonquière, 1996 Census (Geography Products: Spatial Information Products)",publication92f0108x_4,Ongoing/Available,Do not load to OLC,92F0108X,
primary140721,"Street Network and Feature Extension File, North Bay, 1996 Census (Geography Products : Spatial Information Products)",publication92f0118x_4,Ongoing/Available,Do not load to OLC,92F0118X,
primary140720,"Street Network Street Network and Feature Extension Files, Ontario, 1996 Census (Geography Products: Spatial Information Products)",publication92f0114x_4,Ongoing/Available,Do not load to OLC,92F0114X,
primary139386,"Street Network and Feature Extension File, Saint-Jean-sur-Richelieu, 1996 Census (Geography Products: Spatial Information Products)",publication92f0111x_4,Ongoing/Available,Do not load to OLC,92F0111X,
primary139388,"Street Network and Feature Extension File, Sherbrooke, 1996 Census (Geography Products: Spatial Information Products))",publication92f0112x_4,Ongoing/Available,Do not load to OLC,92F0112X,
primary139384,"Street Network and Feature Extension File, Québec, 1996 Census (Geography Products: Spatial Information Products)",publication92f0110x_4,Ongoing/Available,Do not load to OLC,92F0110X,
primary139347,"Federal Electoral Districts (1996 Representation Order) Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0031x_4,Ongoing/Available,Do not load to OLC,92F0031X,
primary139351,"Census Consolidated Subdivisions Digital Boundary File/Digital Cartographic File, 1996 Census (Geography Products: Spatial Information Products)",publication92f0033x_4,Ongoing/Available,Do not load to OLC,92F0033X,
primary139422,"Street Network and Feature Extension Files, British Columbia, 1996 Census (Geography Products: Spatial Information Products)",publication92f0132x_4,Ongoing/Available,Do not load to OLC,92F0132X,
primary139423,"Street Network and Feature Extension File, Abbotsford, 1996 Census (Geography Products: Spatial Information Products)",publication92f0133x_4,Ongoing/Available,Do not load to OLC,92F0133X,
primary139418,"Street Network and Feature Extension File, Calgary, 1996 Census (Geography Products: Spatial Information Products)",publication92f0130x_4,Ongoing/Available,Do not load to OLC,92F0130X,
primary139420,"Street Network and Feature Extension File, Edmonton, 1996 Census (Geography Products: Spatial Information Products)",publication92f0131x_4,Ongoing/Available,Do not load to OLC,92F0131X,
primary139378,"Street Network and Feature Extension File, Saint John, 1996 Census (Geography Products: Spatial Information Products)",publication92f0106x_4,Ongoing/Available,Do not load to OLC,92F0106X,
primary139374,"Street Network and Feature Extension Files, New Brunswick, 1996 Census (Geography Products: Spatial Information Products)",publication92f0103x_4,Ongoing/Available,Do not load to OLC,92F0103X,
primary139376,"Street Network and Feature Extension File, Moncton, 1996 Census (Geography Products: Spatial Information Products)",publication92f0105x_4,Ongoing/Available,Do not load to OLC,92F0105X,
primary139316,"Street Network Files (SNFs), 1996 Census (Geography Products: Spatial Information Products)",publication92f0024x_4,Ongoing/Available,Do not load to OLC,92F0024X,
primary139318,"Skeletal Street Network Files (SSNFs), 1996 Census (Geography Products: Spatial Information Products)",publication92f0025x_4,Ongoing/Available,Do not load to OLC,92F0025X,
primary139323,"Postal Code Conversion File (PCCF) - Update, 1996 Census (Geography Products: Attribute Information Products)",issue92f0027u1996000_4,Completed,Do not load to OLC,92F0027U1996000,
primary139310,"Total Population by Immigrant Status and Selected Places of Birth (27) and Sex (3), Showing Age Groups (7B), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0223x1996004_4,Completed,Do not load to OLC,95F0223X1996004,
primary139296,"Total Population by Ethnic Origin (31) and Age Groups (13), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0221x1996003_4,Completed,Do not load to OLC,95F0221X1996003,
primary140505,"Total Population by Ethnic Origin (31) and Age Groups (13), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts, 1996 Census (20% Sample Data)",issue95f0221x1996002_4,Completed,Do not load to OLC,95F0221X1996002,
primary139514,"Total Population by Immigrant Status (4A), for Canada, Provinces and Territories, 1911-1996 Censuses (20% Sample Data)",issue93f0023x1996001_4,Completed,Do not load to OLC,93F0023X1996001,
primary139858,"Postal Profiles for the Toronto Postal Region, 1991 Census (Geography Products: Digital Geographic Products)",publication95f0169x_4,Discontinued/Not available,Do not load to OLC,95F0169X,
primary139299,"Total Population by Ethnic Origin (31) and Age Groups (13), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0221x1996004_4,Completed,Do not load to OLC,95F0221X1996004,
primary139300,"Total Population by Ethnic Origin (31) and Age Groups (13), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census - (20% Sample Data)",issue95f0221x1996005_4,Last completed issue,Do not load to OLC,95F0221X1996005,
primary140504,"Total Population by Ethnic Origin (31) and Age Groups (13), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0221x1996001_4,Completed,Do not load to OLC,95F0221X1996001,
primary139522,"Non-immigrant Population by Place of Birth (15), Showing Province or Territory of Residence (13) and Sex (3), 1996 Census (20% Sample Data)",issue93f0023x1996009_4,Completed,Do not load to OLC,93F0023X1996009,
primary139309,"Total Population by Immigrant Status and Selected Places of Birth (27) and Sex (3), Showing Age Groups (7B), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0223x1996003_4,Completed,Do not load to OLC,95F0223X1996003,
primary139308,"Total Population by Immigrant Status and Selected Places of Birth (27) and Sex (3), Showing Age Groups (7B), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts, 1996 Census (20% Sample Data)",issue95f0223x1996002_4,Completed,Do not load to OLC,95F0223X1996002,
primary140526,"Total Population by Immigrant Status and Selected Places of Birth (27) and Sex (3), Showing Age Groups (7B), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census (20% Sample Data)",issue95f0223x1996005_4,Last completed issue,Do not load to OLC,95F0223X1996005,
primary139307,"Total Population by Immigrant Status and Selected Places of Birth (27) and Sex (3), Showing Age Groups (7B), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0223x1996001_4,Completed,Do not load to OLC,95F0223X1996001,
primary139662,Postal Code Population Weight File (1996 Census Population),publication93f0040x_4,Discontinued/Not available,Do not load to OLC,93F0040X,
primary139800,"Composition of Assets and Debts Held by Economic Families, Unattached Individuals and All Family Units by Age, Canada, 1999",issue13f0054x1999001_4,Do not load to OLC,Do not load to OLC,13F0054X1999001,
primary139303,"Total Population by Visible Minority Population (14) and Age Groups (13), Showing Sex (3), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts (20% Sample Data)",issue95f0222x1996002_4,Completed,Do not load to OLC,95F0222X1996002,
primary139555,"Total Population by Visible Minority Population (14) and Sex (3), Showing Immigrant Status and Period of Immigration (9), for Canada, Provinces and Territories, 1996 Census (20% Sample Data)",issue93f0026x1996006_4,Completed,Do not load to OLC,93F0026X1996006,
primary139554,"Total Population by Visible Minority Population (14) and Age Groups (7A), Showing Sex (3), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0026x1996005_4,Completed,Do not load to OLC,93F0026X1996005,
primary139553,"Total Population by Visible Minority Population (14) and Sex (3), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0026x1996004_4,Completed,Do not load to OLC,93F0026X1996004,
primary140507,"Total Population by Visible Minority Population (14) and Age Groups (13), Showing Sex (3), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0222x1996003_4,Completed,Do not load to OLC,95F0222X1996003,
primary140508,"Total Population by Visible Minority Population (14) and Age Groups (13), Showing Sex (3), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0222x1996004_4,Completed,Do not load to OLC,95F0222X1996004,
primary139305,"Total Population by Visible Minority Population (14) and Age Groups (13), Showing Sex (3), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census (20% Sample Data)",issue95f0222x1996005_4,Last completed issue,Do not load to OLC,95F0222X1996005,
primary139302,"Total Population by Visible Minority Population (14) and Age Groups (13), Showing Sex (3), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0222x1996001_4,Completed,Do not load to OLC,95F0222X1996001,
primary139551,"Total Population by Ethnic Categories (36) and Sex (3), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0026x1996002_4,Completed,Do not load to OLC,93F0026X1996002,
primary139521,"Total Population by Country(ies) of Citizenship (202) and Sex (3), Showing Single and Multiple Responses (4), for Canada, Provinces and Territories, 1996 Census (20% Sample Data)",issue93f0023x1996008_4,Completed,Do not load to OLC,93F0023X1996008,
primary139883,Profile of Census Subdivisions in Sault Ste. Marie,issue95f0179x1996024_4,Completed,Do not load to OLC,95F0179X1996024,
primary139552,"Total Population  by Ethnic Origin (187B) and Sex (3), Showing Selected Multiple Combinations, for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0026x1996003_4,Completed,Do not load to OLC,93F0026X1996003,
primary139881,Profile of Census Subdivisions in Peterborough,issue95f0179x1996022_4,Completed,Do not load to OLC,95F0179X1996022,
primary140494,"Top 25 Ethnic Origins in Canada by Age Groups (13), Showing Single and Multiple Responses (3), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts,  1996 Census (20% Sample Data)",issue95f0220x1996002_4,Completed,Do not load to OLC,95F0220X1996002,
primary139877,Profile of Census Subdivisions in Kitchener,issue95f0179x1996018_4,Completed,Do not load to OLC,95F0179X1996018,
primary139879,Profile of Census Subdivisions in North Bay,issue95f0179x1996020_4,Completed,Do not load to OLC,95F0179X1996020,
primary140501,"Top 25 Ethnic Origins in Canada by Age Groups (13), Showing Single and Multiple Responses (3), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0220x1996004_4,Completed,Do not load to OLC,95F0220X1996004,
primary140780,Crops Small Area Current Data,publication22f0005x_4,Do not load to OLC,Do not load to OLC,22F0005X,
primary140755,Profile of Census Subdivisions in Thunder Bay,issue95f0179x1996027_4,Completed,Do not load to OLC,95F0179X1996027,
primary140764,Profile of Census Subdivisions in Abbotsford,issue95f0179x1996037_4,Completed,Do not load to OLC,95F0179X1996037,
primary140749,Profile of Census Subdivisions in Halifax,issue95f0179x1996002_4,Completed,Do not load to OLC,95F0179X1996002,
primary140493,Profile of Census Subdivisions in  Calgary,issue95f0179x1996033_4,Completed,Do not load to OLC,95F0179X1996033,
primary140793,"Profile of Visible Minorities: Canada, Provinces and Territories",publication89f0037x_4,Discontinued/Not available,Do not load to OLC,89F0037X,
primary139876,Profile of Census Subdivisions in Kingston,issue95f0179x1996017_4,Completed,Do not load to OLC,95F0179X1996017,
primary139878,Profile of Census Subdivisions in London,issue95f0179x1996019_4,Completed,Do not load to OLC,95F0179X1996019,
primary139880,Profile of Census Subdivisions in Oshawa,issue95f0179x1996021_4,Completed,Do not load to OLC,95F0179X1996021,
primary139518,"Immigrant Population by Selected Places of Birth (16), Age Groups (7B) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0023x1996005_4,Completed,Do not load to OLC,93F0023X1996005,
primary139517,"Immigrant Population by Selected Places of Birth (84) and Sex (3), for Canada, Provinces, Territories and Census Metropolitan Areas, 1986-1996 Censuses (20% Sample Data)",issue93f0023x1996004_4,Completed,Do not load to OLC,93F0023X1996004,
primary140555,"Immigrant Population by Selected Place of Birth (16) and Sex (3), Showing Age at Immigration (5), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts, 1996 Census (20% Sample Data)",issue95f0225x1996002_4,Completed,Do not load to OLC,95F0225X1996002,
primary140182,"Immigrant Population by Selected Place of Birth (16) and Sex (3), Showing Age at Immigration (5), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census (20% Sample Data)",issue95f0225x1996005_4,Last completed issue,Do not load to OLC,95F0225X1996005,
primary140552,"Immigrant Population by Selected Place of Birth (16) and Sex (3), Showing Age at Immigration (5), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0225x1996001_4,Completed,Do not load to OLC,95F0225X1996001,
primary140502,"Top 25 Ethnic Origins in Canada by Age Groups (13), Showing Single and Multiple Responses (3), for Canada, Provinces, Territories and Forward Sortation Areas, 1996 Census (20% Sample Data)",issue95f0220x1996005_4,Last completed issue,Do not load to OLC,95F0220X1996005,
primary139258,"Top 25 Ethnic Origins in Canada by Age Groups (13), Showing Single and Multiple Responses (3), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0220x1996001_4,Completed,Do not load to OLC,95F0220X1996001,
primary139523,"Top 10 Countries of Birth for All Immigrants, Immigrants Who Came Before 1961 and Recent Immigrants, Showing Frequencies and Percentage Distributions, for Canada, Provinces,  Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0023x1996010_4,Last completed issue,Do not load to OLC,93F0023X1996010,
primary140760,Profile of Census Subdivisions in Saskatoon,issue95f0179x1996032_4,Completed,Do not load to OLC,95F0179X1996032,
primary140495,Profile of Census Subdivisions in Edmonton,issue95f0179x1996034_4,Completed,Do not load to OLC,95F0179X1996034,
primary140750,Profile of Census Subdivisions in Montréal,issue95f0179x1996006_4,Completed,Do not load to OLC,95F0179X1996006,
primary140752,Profile of Census Subdivisions in Sherbrooke,issue95f0179x1996009_4,Completed,Do not load to OLC,95F0179X1996009,
primary139869,Profile of Census Subdivisions in Saint-Jean-sur-Richelieu,issue95f0179x1996010_4,Completed,Do not load to OLC,95F0179X1996010,
primary139895,Profile of Census Subdivisions in Kamloops,issue95f0179x1996038_4,Completed,Do not load to OLC,95F0179X1996038,
primary140751,Profile of Census Subdivisions in Ottawa - Hull,issue95f0179x1996007_4,Completed,Do not load to OLC,95F0179X1996007,
primary139550,"Population by Ethnic Origin (188) and Sex (3), Showing Single and Multiple Responses (3), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0026x1996001_4,Completed,Do not load to OLC,93F0026X1996001,
primary139899,Profile of Census Subdivisions in Vancouver,issue95f0179x1996042_4,Completed,Do not load to OLC,95F0179X1996042,
primary139897,Profile of Census Subdivisions in Nanaimo,issue95f0179x1996040_4,Completed,Do not load to OLC,95F0179X1996040,
primary140528,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Period of Immigration (6), for Census Metropolitan Areas, Tracted Census Agglomerations and Census Tracts, 1996 Census (20% Sample Data)",issue95f0224x1996002_4,Completed,Do not load to OLC,95F0224X1996002,
primary139519,"Immigrant Population by Selected Places of Birth (16), Age at Immigration (12) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories and Census Metropolitan Areas, 1996 Census (20% Sample Data)",issue93f0023x1996006_4,Completed,Do not load to OLC,93F0023X1996006,
primary140496,"Top 25 Ethnic Origins in Canada by Age Groups (13), Showing Single and Multiple Responses (3), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0220x1996003_4,Completed,Do not load to OLC,95F0220X1996003,
primary140753,Profile of Census Subdivisions in Belleville,issue95f0179x1996013_4,Completed,Do not load to OLC,95F0179X1996013,
primary139865,Profile of Census Subdivisions in Chicoutimi - Jonquière,issue95f0179x1996005_4,Completed,Do not load to OLC,95F0179X1996005,
primary139896,Profile of Census Subdivisions in Kelowna,issue95f0179x1996039_4,Completed,Do not load to OLC,95F0179X1996039,
primary139867,Profile of Census Subdivisions in Québec,issue95f0179x1996008_4,Completed,Do not load to OLC,95F0179X1996008,
primary139515,"Immigrants and Non-permanent Residents (3) by Place of Birth (260) and Sex (3), for Canada, Provinces and Territories, 1996  Census (20% Sample Data)",issue93f0023x1996002_4,Completed,Do not load to OLC,93F0023X1996002,
primary140181,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Age at Immigration (5), for Canada, Provinces, Territories and Federal Electoral Districts (1996 Representation Order), 1996 Census (20% Sample Data)",issue95f0225x1996004_4,Completed,Do not load to OLC,95F0225X1996004,
primary139314,"Immigrant Population by Selected Place of Birth (16) and Sex (3), Showing Age at Immigration (5), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0225x1996003_4,Completed,Do not load to OLC,95F0225X1996003,
primary139884,Profile of Census Subdivisions in St. Catharines - Niagara,issue95f0179x1996025_4,Completed,Do not load to OLC,95F0179X1996025,
primary140758,Profile of Census Subdivisions in Winnipeg,issue95f0179x1996030_4,Completed,Do not load to OLC,95F0179X1996030,
primary140757,Profile of Census Subdivisions in Windsor,issue95f0179x1996029_4,Completed,Do not load to OLC,95F0179X1996029,
primary140492,Profile of Census Subdivisions in Toronto,issue95f0179x1996028_4,Completed,Do not load to OLC,95F0179X1996028,
primary139864,Profile of Census Subdivisions in Saint John,issue95f0179x1996004_4,Completed,Do not load to OLC,95F0179X1996004,
primary139871,Profile of Census Subdivisions in Barrie,issue95f0179x1996012_4,Completed,Do not load to OLC,95F0179X1996012,
primary140788,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories, Federal Electoral Districts (1987 Representation Order) and Enumeration Areas, 1996 Census (20% Sample Data)",issue95f0224x1996003_4,Completed,Do not load to OLC,95F0224X1996003,
primary139313,"Immigrant Population by Selected Places of Birth (16) and Sex (3), Showing Period of Immigration (6), for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 1996 Census (20% Sample Data)",issue95f0224x1996001_4,Completed,Do not load to OLC,95F0224X1996001,
primary139870,Profile of Census Subdivisions in Trois-Rivières,issue95f0179x1996011_4,Completed,Do not load to OLC,95F0179X1996011,
primary139875,Profile of Census Subdivisions in Hamilton,issue95f0179x1996016_4,Completed,Do not load to OLC,95F0179X1996016,
primary139874,Profile of Census Subdivisions in Guelph,issue95f0179x1996015_4,Completed,Do not load to OLC,95F0179X1996015,
primary140763,Profile of Census Subdivisions in Red Deer,issue95f0179x1996036_4,Completed,Do not load to OLC,95F0179X1996036,
primary140762,Profile of Census Subdivisions in Lethbridge,issue95f0179x1996035_4,Completed,Do not load to OLC,95F0179X1996035,
primary140759,Profile of Census Subdivisions in Regina,issue95f0179x1996031_4,Completed,Do not load to OLC,95F0179X1996031,
primary139898,Profile of Census Subdivisions in Prince George,issue95f0179x1996041_4,Completed,Do not load to OLC,95F0179X1996041,
primary139900,Profile of Census Subdivisions in Victoria,issue95f0179x1996043_4,Last completed issue,Do not load to OLC,95F0179X1996043,
